epoch,datetime_utc,open,high,low,close
1753953871,2025-07-31 09:24:31,1080.09,1097.34,1051.63,1059.16
1753977600,2025-07-31 16:00:00,1058.84,1077.77,1035.61,1066.08
1754006400,2025-08-01 00:00:00,1066.09,1080.59,990.9,999.78
1754035200,2025-08-01 08:00:00,999.94,1033.94,981.2,1000.26
1754064000,2025-08-01 16:00:00,1000.16,1040.36,983.58,985.64
1754092800,2025-08-02 00:00:00,985.74,1007.41,951.4,1005.07
1754121600,2025-08-02 08:00:00,1004.52,1021.97,989.54,1017.61
1754150400,2025-08-02 16:00:00,1017.02,1020.57,970.96,981.77
1754179200,2025-08-03 00:00:00,981.56,1006.82,969.09,989.45
1754208000,2025-08-03 08:00:00,989.58,1004.02,971.78,991.31
1754236800,2025-08-03 16:00:00,991.21,1020.03,976.91,1003.69
1754265600,2025-08-04 00:00:00,1003.62,1062.92,1002.63,1057.83
1754294400,2025-08-04 08:00:00,1057.93,1084.57,1032.97,1036.95
1754323200,2025-08-04 16:00:00,1036.78,1077.37,1031.22,1036.7
1754352000,2025-08-05 00:00:00,1036.52,1060.92,1023.82,1052.26
1754380800,2025-08-05 08:00:00,1052.05,1103.9,1048.47,1097.76
1754409600,2025-08-05 16:00:00,1097.6,1110.86,1058.09,1098.61
1754438400,2025-08-06 00:00:00,1099.01,1153.91,1087.68,1153.69
1754467200,2025-08-06 08:00:00,1153.98,1155.88,1116.58,1134.98
1754496000,2025-08-06 16:00:00,1135.44,1156.66,1113.42,1114.56
1754524800,2025-08-07 00:00:00,1114.52,1119.55,1047.64,1080.98
1754553600,2025-08-07 08:00:00,1081.01,1100.59,1063.06,1076.61
1754582400,2025-08-07 16:00:00,1076.86,1092.67,1046.73,1090.23
1754611200,2025-08-08 00:00:00,1090.1,1107.66,1048.19,1048.86
1754640000,2025-08-08 08:00:00,1049.24,1065.02,1023.54,1056.43
1754668800,2025-08-08 16:00:00,1056.53,1083.98,1028.88,1029.83
1754697600,2025-08-09 00:00:00,1029.62,1057.89,1008.65,1012.31
1754726400,2025-08-09 08:00:00,1012.34,1035.88,1000.93,1027.28
1754755200,2025-08-09 16:00:00,1027.17,1037.77,1005.35,1007.8
1754784000,2025-08-10 00:00:00,1007.75,1016.11,991.67,1000.14
1754812800,2025-08-10 08:00:00,1000.06,1030.37,995.08,1017.13
