epoch,datetime_utc,open,high,low,close
1753955274,2025-07-31 09:47:54,36305.95,36329.69,36220.79,36304.96
1753956000,2025-07-31 10:00:00,36306.35,36346.89,36213.56,36293.36
1753957800,2025-07-31 10:30:00,36299.78,36327.15,36219.93,36234.42
1753959600,2025-07-31 11:00:00,36231.28,36237.17,35944.67,36034.67
1753961400,2025-07-31 11:30:00,36033.11,36278.86,36004.2,36264.98
1753963200,2025-07-31 12:00:00,36264.16,36298.14,36144.81,36160.49
1753965000,2025-07-31 12:30:00,36158.29,36225.68,35882.73,35885.48
1753966800,2025-07-31 13:00:00,35884.28,36070.85,35830.71,35944.68
1753968600,2025-07-31 13:30:00,35941.78,35962.63,35533.67,35538.92
1753970400,2025-07-31 14:00:00,35540.2,35746.77,35522.45,35536.07
1753972200,2025-07-31 14:30:00,35542.33,35663.16,35507.71,35559.27
1753974000,2025-07-31 15:00:00,35557.59,35830.24,35555.9,35753.01
1753975800,2025-07-31 15:30:00,35754.27,35788.72,35474.5,35499.72
1753977600,2025-07-31 16:00:00,35498,35620.69,35453,35515.83
1753979400,2025-07-31 16:30:00,35512.17,35611.27,35481.58,35563.04
1753981200,2025-07-31 17:00:00,35561.54,35569.02,35128.84,35208.32
1753983000,2025-07-31 17:30:00,35206.73,35383.05,35170.72,35280.81
1753984800,2025-07-31 18:00:00,35284.87,35366.29,35207.16,35293.71
1753986600,2025-07-31 18:30:00,35296.6,35640.06,35265.54,35517.79
1753988400,2025-07-31 19:00:00,35512.74,35753.21,35467.38,35630.98
1753990200,2025-07-31 19:30:00,35638.01,35849.39,35591.79,35837.17
1753992000,2025-07-31 20:00:00,35833,36189.77,35757.01,36181.44
1753993800,2025-07-31 20:30:00,36184.51,36393.26,36171.5,36313.38
1753995600,2025-07-31 21:00:00,36307.94,36331.74,35778.87,35807.15
1753997400,2025-07-31 21:30:00,35805.08,36030.6,35770.52,35976.49
1753999200,2025-07-31 22:00:00,35978.12,36136.41,35926.67,36040.32
1754001000,2025-07-31 22:30:00,36035.54,36075.35,35704.95,35706.71
1754002800,2025-07-31 23:00:00,35709.46,36015.2,35642.27,35987.28
1754004600,2025-07-31 23:30:00,35991.27,36394.28,35980.63,36353.29
1754006400,2025-08-01 00:00:00,36358.24,36410.56,36215.39,36323.6
1754008200,2025-08-01 00:30:00,36316.32,36519.32,36241.88,36304.34
1754010000,2025-08-01 01:00:00,36302.63,36437.66,36250.75,36253.17
1754011800,2025-08-01 01:30:00,36257.07,36298.48,36049.15,36074.19
1754013600,2025-08-01 02:00:00,36072.41,36288.33,35994.72,36114.64
1754015400,2025-08-01 02:30:00,36111.61,36120.66,35717.82,35754.47
1754017200,2025-08-01 03:00:00,35757.66,36053.97,35679.87,35967.14
1754019000,2025-08-01 03:30:00,35969.95,36054.13,35727.85,35802.88
1754020800,2025-08-01 04:00:00,35797.8,35829.49,35677.94,35820.63
1754022600,2025-08-01 04:30:00,35819.36,35821.73,35636.05,35758.26
1754024400,2025-08-01 05:00:00,35759.25,35882.46,35686.13,35881.34
1754026200,2025-08-01 05:30:00,35881.05,36019.7,35827.48,35895.11
1754028000,2025-08-01 06:00:00,35895.26,35997.65,35784.35,35844.25
1754029800,2025-08-01 06:30:00,35847.14,35855.47,35428.24,35453.61
1754031600,2025-08-01 07:00:00,35455,35573.25,35372.67,35376.53
1754033400,2025-08-01 07:30:00,35374.93,35468.11,35312.51,35436.82
1754035200,2025-08-01 08:00:00,35435.12,35597.89,35381.53,35400.83
1754037000,2025-08-01 08:30:00,35406.17,35406.17,35234.39,35348.59
1754038800,2025-08-01 09:00:00,35351.33,35453.8,35327.45,35375.03
1754040600,2025-08-01 09:30:00,35376.05,35499.23,35215.73,35269.47
1754042400,2025-08-01 10:00:00,35273.31,35653.61,35226.17,35560.06
1754044200,2025-08-01 10:30:00,35560.24,35614.53,35365.64,35398.23
1754046000,2025-08-01 11:00:00,35398.93,35443.17,35235.99,35343.44
1754047800,2025-08-01 11:30:00,35341.17,35536.76,35270.9,35456.42
1754049600,2025-08-01 12:00:00,35455.97,35574.35,35453.18,35565.7
1754051400,2025-08-01 12:30:00,35562.2,35722.86,35490.13,35637.8
1754053200,2025-08-01 13:00:00,35643.29,35663.93,35435.66,35476.58
1754055000,2025-08-01 13:30:00,35475.44,35743.84,35418.08,35466.04
1754056800,2025-08-01 14:00:00,35465.92,35494.68,35232.28,35235.15
1754058600,2025-08-01 14:30:00,35238.61,35342.89,35141.61,35283.89
1754060400,2025-08-01 15:00:00,35287.92,35304.99,35184.46,35254
1754062200,2025-08-01 15:30:00,35257.22,35519.4,35255.25,35402.78
1754064000,2025-08-01 16:00:00,35403.54,35413.91,35254.64,35330.16
1754065800,2025-08-01 16:30:00,35329.03,35432.32,35277.99,35409.75
1754067600,2025-08-01 17:00:00,35416.37,35418.84,35235.41,35294.66
1754069400,2025-08-01 17:30:00,35287.66,35697.92,35244.37,35653.84
1754071200,2025-08-01 18:00:00,35652.67,35752.05,35515.36,35642.29
1754073000,2025-08-01 18:30:00,35644.23,35665.1,35368.08,35395.51
1754074800,2025-08-01 19:00:00,35392.01,35452.33,35317.35,35422.11
1754076600,2025-08-01 19:30:00,35416.89,35470.48,35183.16,35239.97
1754078400,2025-08-01 20:00:00,35237.91,35470.05,35205.67,35418.32
1754080200,2025-08-01 20:30:00,35423.19,35489.88,35264.35,35305.6
1754082000,2025-08-01 21:00:00,35304.27,35395.86,35265.49,35347.41
1754083800,2025-08-01 21:30:00,35347.37,35462.22,35280.08,35400.07
1754085600,2025-08-01 22:00:00,35399.03,35534.63,35163.54,35188.13
1754087400,2025-08-01 22:30:00,35193.66,35344.77,35150.93,35306.6
1754089200,2025-08-01 23:00:00,35313.02,35464.9,35252.23,35284.67
1754091000,2025-08-01 23:30:00,35286.43,35541.94,35252.94,35537.98
1754092800,2025-08-02 00:00:00,35535.47,35728.04,35498.14,35681.88
1754094600,2025-08-02 00:30:00,35683.55,35866.69,35603.62,35618.51
1754096400,2025-08-02 01:00:00,35619.29,35647.99,35358.03,35400.83
1754098200,2025-08-02 01:30:00,35394,35593.19,35389.67,35470.85
1754100000,2025-08-02 02:00:00,35472.67,35528.87,35287.7,35433.78
1754101800,2025-08-02 02:30:00,35436.55,35624.01,35403.85,35616.95
1754103600,2025-08-02 03:00:00,35616.95,35618.83,35483.36,35553.89
1754105400,2025-08-02 03:30:00,35552.21,35627.12,35473.76,35622.46
1754107200,2025-08-02 04:00:00,35622.71,35879.31,35471.03,35489.04
1754109000,2025-08-02 04:30:00,35485.95,35613.32,35339.44,35440.77
1754110800,2025-08-02 05:00:00,35438.71,35488.19,35214.03,35326.96
