epoch,datetime_utc,open,high,low,close
1781889987,2026-06-19 17:26:27,1.14699,1.14769,1.14693,1.14751
1781892000,2026-06-19 18:00:00,1.14751,1.14809,1.1474,1.14767
1781895600,2026-06-19 19:00:00,1.14768,1.14789,1.14753,1.14756
1781899200,2026-06-19 20:00:00,1.14757,1.14773,1.14711,1.14744
1782086400,2026-06-22 00:00:00,1.14625,1.14667,1.14577,1.14666
1782090000,2026-06-22 01:00:00,1.14666,1.14737,1.14636,1.14637
1782093600,2026-06-22 02:00:00,1.14637,1.14677,1.14603,1.14654
1782097200,2026-06-22 03:00:00,1.14654,1.14669,1.14544,1.14563
1782100800,2026-06-22 04:00:00,1.14563,1.14569,1.14529,1.14561
1782104400,2026-06-22 05:00:00,1.14561,1.14629,1.14543,1.14544
1782108000,2026-06-22 06:00:00,1.14543,1.14631,1.14525,1.14601
1782111600,2026-06-22 07:00:00,1.14602,1.14626,1.14443,1.1446
1782115200,2026-06-22 08:00:00,1.14459,1.14532,1.14416,1.14506
1782118800,2026-06-22 09:00:00,1.14509,1.14631,1.14506,1.1458
1782122400,2026-06-22 10:00:00,1.1458,1.14636,1.14547,1.14563
1782126000,2026-06-22 11:00:00,1.14563,1.14599,1.14475,1.14486
1782129600,2026-06-22 12:00:00,1.14486,1.14619,1.14479,1.1455
1782133200,2026-06-22 13:00:00,1.1455,1.14551,1.14285,1.14289
1782136800,2026-06-22 14:00:00,1.14288,1.14505,1.14259,1.14448
1782140400,2026-06-22 15:00:00,1.14448,1.14503,1.14306,1.14319
1782144000,2026-06-22 16:00:00,1.14319,1.14324,1.14255,1.14311
1782147600,2026-06-22 17:00:00,1.14311,1.14333,1.14273,1.14291
1782151200,2026-06-22 18:00:00,1.14291,1.14315,1.14224,1.14241
1782154800,2026-06-22 19:00:00,1.14244,1.14256,1.14191,1.1425
1782158400,2026-06-22 20:00:00,1.14249,1.14293,1.14248,1.1428
1782162000,2026-06-22 21:00:00,1.14283,1.1431,1.14263,1.14281
1782165600,2026-06-22 22:00:00,1.14281,1.14291,1.14255,1.14276
1782169200,2026-06-22 23:00:00,1.14275,1.14293,1.14258,1.14269
1782172800,2026-06-23 00:00:00,1.14269,1.14278,1.14226,1.1427
1782176400,2026-06-23 01:00:00,1.1427,1.14284,1.14225,1.14268
1782180000,2026-06-23 02:00:00,1.14268,1.1432,1.14256,1.1426
1782183600,2026-06-23 03:00:00,1.14259,1.143,1.14191,1.14297
1782187200,2026-06-23 04:00:00,1.14297,1.14302,1.14198,1.1421
1782190800,2026-06-23 05:00:00,1.1421,1.14257,1.14191,1.14234
1782194400,2026-06-23 06:00:00,1.14231,1.14301,1.14195,1.14231
1782198000,2026-06-23 07:00:00,1.14231,1.14388,1.14099,1.14118
1782201600,2026-06-23 08:00:00,1.14118,1.14176,1.14048,1.14083
1782205200,2026-06-23 09:00:00,1.14083,1.14113,1.14061,1.14111
1782208800,2026-06-23 10:00:00,1.1411,1.14127,1.13958,1.14009
1782212400,2026-06-23 11:00:00,1.14008,1.14028,1.13845,1.13855
1782216000,2026-06-23 12:00:00,1.13857,1.13947,1.13828,1.13894
1782219600,2026-06-23 13:00:00,1.13889,1.14,1.13852,1.13898
1782223200,2026-06-23 14:00:00,1.13898,1.13911,1.13763,1.13821
1782226800,2026-06-23 15:00:00,1.13821,1.13855,1.13761,1.13827
1782230400,2026-06-23 16:00:00,1.1383,1.13839,1.13786,1.13796
1782234000,2026-06-23 17:00:00,1.13796,1.13818,1.13767,1.13796
1782237600,2026-06-23 18:00:00,1.13796,1.13807,1.13762,1.13789
1782241200,2026-06-23 19:00:00,1.13789,1.13829,1.13787,1.13795
1782244800,2026-06-23 20:00:00,1.1379,1.13822,1.1378,1.13817
1782248400,2026-06-23 21:00:00,1.13822,1.13843,1.13817,1.13835
1782252000,2026-06-23 22:00:00,1.13835,1.13835,1.13787,1.13816
1782255600,2026-06-23 23:00:00,1.13816,1.13836,1.13789,1.1379
1782259200,2026-06-24 00:00:00,1.13791,1.13822,1.13733,1.13763
1782262800,2026-06-24 01:00:00,1.13764,1.1377,1.1371,1.13766
1782266400,2026-06-24 02:00:00,1.13766,1.1377,1.13668,1.13675
1782270000,2026-06-24 03:00:00,1.13675,1.13688,1.13615,1.13675
1782273600,2026-06-24 04:00:00,1.13674,1.13676,1.13614,1.13631
1782277200,2026-06-24 05:00:00,1.13631,1.13684,1.13629,1.13681
1782280800,2026-06-24 06:00:00,1.13681,1.13751,1.13576,1.13595
1782284400,2026-06-24 07:00:00,1.13595,1.1361,1.13515,1.13516
1782288000,2026-06-24 08:00:00,1.13516,1.1356,1.13383,1.13528
1782291600,2026-06-24 09:00:00,1.13528,1.13537,1.13445,1.1346
1782295200,2026-06-24 10:00:00,1.1346,1.13465,1.13385,1.13397
1782298800,2026-06-24 11:00:00,1.13397,1.1349,1.13371,1.13403
1782302400,2026-06-24 12:00:00,1.13404,1.13461,1.13254,1.1329
1782306000,2026-06-24 13:00:00,1.13291,1.13479,1.13246,1.13444
1782309600,2026-06-24 14:00:00,1.13443,1.13521,1.1336,1.13417
1782313200,2026-06-24 15:00:00,1.13418,1.13612,1.13402,1.13481
1782316800,2026-06-24 16:00:00,1.13481,1.13681,1.13469,1.13596
1782320400,2026-06-24 17:00:00,1.13596,1.13613,1.13491,1.13497
1782324000,2026-06-24 18:00:00,1.13497,1.1361,1.13497,1.13551
1782327600,2026-06-24 19:00:00,1.13551,1.13587,1.1351,1.13535
1782331200,2026-06-24 20:00:00,1.13534,1.13602,1.13524,1.13583
1782334800,2026-06-24 21:00:00,1.13585,1.13617,1.13546,1.13591
1782338400,2026-06-24 22:00:00,1.13591,1.13591,1.13549,1.13551
1782342000,2026-06-24 23:00:00,1.13551,1.13564,1.13529,1.1354
1782345600,2026-06-25 00:00:00,1.1354,1.13551,1.13477,1.13535
1782349200,2026-06-25 01:00:00,1.13535,1.13675,1.13534,1.13581
1782352800,2026-06-25 02:00:00,1.13581,1.13657,1.13566,1.13637
1782356400,2026-06-25 03:00:00,1.13636,1.13712,1.13631,1.13697
1782360000,2026-06-25 04:00:00,1.13701,1.13709,1.13662,1.13672
1782363600,2026-06-25 05:00:00,1.13672,1.13682,1.13598,1.13619
1782367200,2026-06-25 06:00:00,1.13613,1.13649,1.13524,1.13529
1782370800,2026-06-25 07:00:00,1.13529,1.13603,1.13449,1.13594
1782374400,2026-06-25 08:00:00,1.13594,1.13726,1.1359,1.13676
1782378000,2026-06-25 09:00:00,1.13676,1.13741,1.13617,1.13617
1782381600,2026-06-25 10:00:00,1.13617,1.13619,1.1343,1.13457
1782385200,2026-06-25 11:00:00,1.13458,1.13459,1.13335,1.13376
1782388800,2026-06-25 12:00:00,1.13376,1.13645,1.13364,1.13537
1782392400,2026-06-25 13:00:00,1.13536,1.13699,1.13494,1.13636
1782396000,2026-06-25 14:00:00,1.13637,1.13835,1.13632,1.13749
1782399600,2026-06-25 15:00:00,1.13748,1.13881,1.13736,1.13843
1782403200,2026-06-25 16:00:00,1.13844,1.13866,1.13734,1.13741
1782406800,2026-06-25 17:00:00,1.13741,1.13776,1.13716,1.13745
1782410400,2026-06-25 18:00:00,1.13743,1.13806,1.13702,1.1373
1782414000,2026-06-25 19:00:00,1.1373,1.13793,1.13686,1.13727
1782417600,2026-06-25 20:00:00,1.13727,1.13746,1.13694,1.13694
1782421200,2026-06-25 21:00:00,1.13694,1.13788,1.13685,1.13736
1782424800,2026-06-25 22:00:00,1.13736,1.13736,1.13672,1.13699
1782428400,2026-06-25 23:00:00,1.13699,1.13705,1.13604,1.13615
1782432000,2026-06-26 00:00:00,1.13615,1.1367,1.13611,1.13652
1782435600,2026-06-26 01:00:00,1.13649,1.13691,1.13566,1.13597
1782439200,2026-06-26 02:00:00,1.13597,1.13629,1.13544,1.13592
1782442800,2026-06-26 03:00:00,1.13592,1.13717,1.13586,1.13717
1782446400,2026-06-26 04:00:00,1.13717,1.13773,1.13685,1.13772
1782450000,2026-06-26 05:00:00,1.13771,1.13821,1.13753,1.13787
1782453600,2026-06-26 06:00:00,1.13782,1.13825,1.13715,1.13753
1782457200,2026-06-26 07:00:00,1.13753,1.13887,1.13732,1.13867
1782460800,2026-06-26 08:00:00,1.13867,1.14077,1.13831,1.14014
1782464400,2026-06-26 09:00:00,1.14014,1.14122,1.13955,1.14069
1782468000,2026-06-26 10:00:00,1.14069,1.14083,1.14003,1.14049
1782471600,2026-06-26 11:00:00,1.14048,1.14064,1.13938,1.13984
1782475200,2026-06-26 12:00:00,1.13983,1.1434,1.13976,1.14269
1782478800,2026-06-26 13:00:00,1.1427,1.14299,1.1412,1.14251
1782482400,2026-06-26 14:00:00,1.14251,1.14283,1.13937,1.13942
1782486000,2026-06-26 15:00:00,1.13941,1.14079,1.13924,1.1403
1782489600,2026-06-26 16:00:00,1.1403,1.14034,1.13831,1.13899
1782493200,2026-06-26 17:00:00,1.13899,1.13931,1.13848,1.13865
1782496800,2026-06-26 18:00:00,1.13865,1.13912,1.13854,1.13859
1782500400,2026-06-26 19:00:00,1.1386,1.13893,1.13811,1.13871
1782504000,2026-06-26 20:00:00,1.13871,1.13921,1.13818,1.13818
1782691200,2026-06-29 00:00:00,1.13854,1.13893,1.13834,1.1388
1782694800,2026-06-29 01:00:00,1.13876,1.1391,1.13847,1.13853
1782698400,2026-06-29 02:00:00,1.13853,1.13934,1.13848,1.13878
1782702000,2026-06-29 03:00:00,1.13878,1.13902,1.13832,1.13832
1782705600,2026-06-29 04:00:00,1.13832,1.13854,1.13812,1.13827
1782709200,2026-06-29 05:00:00,1.13827,1.13952,1.13826,1.13948
1782712800,2026-06-29 06:00:00,1.13946,1.1415,1.13929,1.14124
1782716400,2026-06-29 07:00:00,1.14124,1.14132,1.14003,1.14025
